,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
25,de,fi,0.4718875502008032,0.7008032128514057,0.7650602409638554,0.5766498369536358,0.5154786725163187,vecmap_s,de,fi,0.5265,0.4628,0.3995,22.4733,14.9715,0.3599,1174.2,0.15702755145053066,0.3664438096385289,0.06501383631300289,de-fi,comparable,203150161,53787974,53787974,808024,482829,9.0,11.3333,0.007882710405959115
26,de,hu,0.5150300601202404,0.7354709418837675,0.7955911823647295,0.6142158837720585,0.5562936638014933,vecmap_s,de,hu,0.4977,0.4451,0.3836,21.808000000000003,14.9376,1.6267,1234.0,0.17966750458320035,0.3896356044632756,0.08647338181969798,de-hu,comparable,182809021,82774636,82774636,796375,552086,7.0,9.3332,0.0006828936946335906
27,de,no,0.6950852557673021,0.8605817452357071,0.892678034102307,0.7690107506133059,0.7088994187460541,vecmap_s,de,no,0.6265,0.5901,0.4521,21.6695,15.0312,0.3473,1090.4,0.12438818786749074,0.3301295026720383,0.10323205884167756,de-no,comparable,192670667,66677001,66677001,784215,340733,5.0,5.0,0.0033822605042316267
28,de,ro,0.5436308926780341,0.7693079237713141,0.8074222668004012,0.6433412344853415,0.5960862234154244,vecmap_s,de,ro,0.5213,0.4801,0.382,21.8809,14.7803,0.5654,1162.2,0.13950313595418584,0.3473292537596137,0.10408551144612728,de-ro,comparable,149213193,50171291,50171291,686162,247960,12.0,9.4999,0.0017587236417369034
29,de,tr,0.4383149448345035,0.6509528585757272,0.7251755265797393,0.5365690550442713,0.4830183278245795,vecmap_s,de,tr,0.4829,0.4161,0.3638,21.4864,14.4622,1.3254,1276.8,0.19866874812862856,0.4065397873299508,0.08208430992189038,de-tr,comparable,152062788,43049191,43049191,655069,309178,12.0,19.4999,0.007366305315793409
30,el,cs,0.44799999999999995,0.672,0.733,0.5527531912619009,0.5035852064555367,vecmap_s,el,cs,0.5568,0.5017,0.4042,21.2651,14.321,0.9283,1274.4,0.12405114948144046,0.3300662422956995,0.07627421985060405,cs-el,comparable,33832653,30053158,30053158,193731,235632,9.0,12.0,0.002655838751112971
31,el,da,0.485,0.696,0.758,0.580279859121254,0.532357738269695,vecmap_s,el,da,0.5659,0.5033,0.3854,24.0858,15.0098,0.3909,1260.0,0.1289290632985914,0.336787584238862,0.08005191606947858,da-el,comparable,27015602,16722304,16722304,166964,119540,9.0,9.1667,0.0066595987132680445
32,el,de,0.512,0.726,0.784,0.6083137510632218,0.5572996993725204,vecmap_s,el,de,0.496,0.4499,0.3574,20.7894,14.4412,0.593,1251.8,0.12295549920460107,0.32973431851851553,0.07013420533622564,de-el,comparable,46277581,95490173,46277581,242448,464194,9.0,8.1667,0.0029765391761000792
33,el,en,0.5281124497991968,0.7038152610441767,0.7570281124497992,0.6055831537496336,0.5595775769191383,vecmap_s,el,en,0.5044,0.4515,0.3308,19.5595,13.7291,0.7332,1222.4,0.1136238732586823,0.3183017023450865,0.1065738469395444,el-en,comparable,56795669,144461765,56795669,278334,345115,12.0,8.5001,0.010450901080275576
34,el,es,0.6446446446446447,0.8058058058058059,0.8348348348348348,0.7178417281379461,0.6684284120331999,vecmap_s,el,es,0.6047,0.5506,0.4299,19.4332,13.8883,1.3194,1146.4,0.0943234371567722,0.29257410210813073,0.10440931608157576,el-es,comparable,44638579,87300155,44638579,234214,255836,15.0,5.8332999999999995,0.009697660009516662
35,el,fi,0.39136490250696376,0.5947075208913649,0.6559888579387186,0.4852517218115507,0.4375474561415426,vecmap_s,el,fi,0.5091,0.4383,0.3782,25.6601,15.6039,1.5197,1236.2,0.1644549363370068,0.3739852419519,0.05565855391974854,el-fi,comparable,36181225,19716835,19716835,204617,227673,8.0,9.833400000000001,0.012748135735179744
36,el,hu,0.36200000000000004,0.608,0.674,0.47308895145343294,0.4265711586205866,vecmap_s,el,hu,0.5558,0.4816,0.3861,22.1904,14.7161,2.1941,1282.0,0.1916631870034821,0.40104368240888144,0.0611033219892807,el-hu,comparable,30179647,32688456,30179647,179766,278361,6.0,9.8335,0.0009037436319473402
37,el,no,0.5135135135135135,0.7397397397397397,0.7877877877877878,0.6120940210913077,0.5694340703064461,vecmap_s,el,no,0.5664,0.4997,0.4107,22.7412,14.9319,0.2433,1202.4,0.1366335578715609,0.3449448657881879,0.08355721683603941,el-no,comparable,32316436,24495246,24495246,187884,156563,8.0,9.1667,0.01006067870328986
38,el,ro,0.5355355355355356,0.7507507507507507,0.7977977977977978,0.6327089248271112,0.5807483779161221,vecmap_s,el,ro,0.5884,0.5437,0.4224,23.1024,15.0724,0.3517,1251.4,0.11460800444957933,0.3195120504589953,0.09393301190292924,el-ro,comparable,28694041,25383370,25383370,175039,152141,11.0,5.6668,0.0004356973959999122
