,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
48,en,ro,0.645,0.815,0.848,0.7208511605359094,0.6515661240474716,vecmap_s,en,ro,0.5051,0.4598,0.3548,21.2797,13.3484,1.8002,1221.8,0.09460991474978356,0.29126925029228595,0.3573002625656414,en-ro,parallel,15221745,15855233,15221745,75236,100681,15.0,9.833300000000001,0.007818083535043985
49,en,tr,0.457,0.629,0.69,0.5368190620904064,0.4746650681438855,vecmap_s,en,tr,0.4218,0.3774,0.3181,20.5777,13.6119,0.5822,1293.2,0.15147069043930694,0.3611476005243031,0.2548969875824122,en-tr,parallel,10033028,8367901,8367901,58971,98518,15.0,22.1665,0.01753685309773001
50,es,cs,0.25,0.43,0.488,0.3338033193552584,0.2807793620894421,vecmap_s,es,cs,0.5195,0.4604,0.4124,18.4002,12.7853,0.5764,1222.8,0.0993967959102379,0.2991591460040128,0.18066735064407874,cs-es,parallel,3510714,2897505,2897505,33932,45907,16.0,11.8333,0.005613132520183695
51,es,da,0.24100000000000002,0.429,0.494,0.3285657968167602,0.2896166230795737,vecmap_s,es,da,0.5238,0.4818,0.3829,18.6082,13.2097,2.7921,1259.8,0.10769531484110828,0.30984871345424114,0.21977062328998165,da-es,parallel,2803374,2419454,2419454,28928,29343,16.0,9.0,0.00657212834125831
52,es,de,0.37200000000000005,0.5489999999999999,0.605,0.4544360069796508,0.3978393241112727,vecmap_s,es,de,0.6135,0.5675,0.3783,20.2681,13.4912,2.5061,1173.6,0.10093317249442256,0.30108824069127,0.27121843133132245,de-es,parallel,8445679,7519966,7519966,60527,70217,16.0,8.0,0.004134973629210892
53,es,el,0.237,0.413,0.474,0.31925689787097383,0.2705092297556012,vecmap_s,es,el,0.5488,0.5108,0.4293,18.682000000000002,12.9528,2.6827,1163.6,0.08201127091179403,0.2735561112246901,0.14056032196041726,el-es,parallel,3077026,2942668,2942668,30516,37639,15.0,5.8332999999999995,0.009697660009516662
54,es,en,0.7929999999999999,0.898,0.919,0.8397781753976196,0.7721497382371837,vecmap_s,es,en,0.6294,0.5894,0.3538,19.4441,12.8709,0.2263,1199.8,0.1017112895411828,0.3011651770912482,0.4731139518944164,en-es,parallel,90591845,81730573,81730573,265845,238469,19.0,4.3334,0.0040721268097998475
55,es,fi,0.151,0.292,0.36200000000000004,0.22370491184627486,0.18553093382558106,vecmap_s,es,fi,0.5557,0.4948,0.3857,20.5209,13.9418,3.5302,1231.6,0.13467904281750434,0.3436531003585301,0.13921029488116807,es-fi,parallel,2724044,1944649,1944649,28423,35598,15.0,11.6667,0.02062939183156476
56,es,hu,0.19,0.358,0.433,0.2706751249140419,0.2342156964944209,vecmap_s,es,hu,0.5146,0.4667,0.4209,18.2415,12.8366,0.6272,1165.4,0.14454725979191935,0.3556542781955653,0.15495517897328145,es-hu,parallel,3173250,2616819,2616819,32130,41511,13.0,12.333400000000001,0.0068003749547639325
57,es,no,0.331,0.54,0.598,0.4269249833053426,0.3825630660067614,vecmap_s,es,no,0.5983,0.5514,0.4135,19.3465,13.3622,2.6119,1106.8,0.11715222801227435,0.3229855686646011,0.2298604191859313,es-no,parallel,3969951,3414042,3414042,37037,37674,15.0,9.0,0.010938263535687609
58,es,ro,0.529,0.7170000000000001,0.765,0.6174177622303441,0.5697595527485059,vecmap_s,es,ro,0.6422,0.6008,0.4691,19.049,12.9447,1.4084,1085.2,0.08703291880937439,0.28121093817409704,0.2546179653957889,es-ro,parallel,4169807,4004812,4004812,38085,44360,8.0,6.1667,0.009434938171090756
59,es,tr,0.191,0.335,0.406,0.2609111368212406,0.22994995504945204,vecmap_s,es,tr,0.5434,0.4803,0.4067,18.4845,13.1924,0.3663,1194.8,0.13630134153732718,0.34524717924354337,0.18507608918948812,es-tr,parallel,2738788,2136810,2136810,28943,36922,18.0,23.8333,0.016751059874741347
60,fi,cs,0.054000000000000006,0.141,0.19699999999999998,0.10064257033806473,0.08465615547717244,vecmap_s,fi,cs,0.5278,0.4487,0.3812,21.6706,14.3039,1.3318,1302.4,0.13330861673970076,0.3410159254776268,0.1042292173742588,cs-fi,parallel,1097935,1310279,1097935,21799,24304,9.0,8.166599999999999,0.0064664604289256244
61,fi,da,0.054000000000000006,0.138,0.2,0.1020045570429806,0.09266376329995707,vecmap_s,fi,da,0.5022,0.4561,0.386,21.9596,14.8372,0.6256,1231.8,0.1253827184784862,0.3320060723774099,0.117620348890008,da-fi,parallel,906437,1119347,906437,18756,16722,9.0,7.3332999999999995,0.004173379460056026
62,fi,de,0.087,0.203,0.265,0.14672086177211568,0.13520282546851334,vecmap_s,fi,de,0.5232,0.4646,0.3552,24.3091,15.1934,0.3052,1205.4,0.12492853779493884,0.33102808619493396,0.13245953541402145,de-fi,parallel,1855705,2367246,1855705,33429,28663,9.0,11.3333,0.007882710405959115
63,fi,el,0.022727272727272728,0.06363636363636363,0.1,0.05250188259127455,0.042859218884312635,vecmap_s,fi,el,0.48200000000000004,0.4219,0.3676,22.0625,14.5139,1.1589,1280.4,0.1327899370833912,0.34128775114992826,0.06968602254818766,el-fi,parallel,660022,889512,660022,14151,15061,8.0,9.833400000000001,0.012748135735179744
64,fi,en,0.23600000000000002,0.396,0.48,0.3168005034253659,0.2985553675455936,vecmap_s,fi,en,0.4008,0.3523,0.2669,23.1333,14.4111,3.3136,1327.4,0.18758060751522407,0.3866980061462144,0.16747511272310356,en-fi,parallel,5356559,7052337,5356559,81803,47707,12.0,11.9999,0.00812666073783419
65,fi,es,0.10300000000000001,0.21899999999999997,0.29,0.1631445277001425,0.14767366141180208,vecmap_s,fi,es,0.5299,0.4804,0.3515,20.5209,13.9418,3.5302,1237.6,0.1316507468189175,0.3411185104794655,0.13921029488116807,es-fi,parallel,1944649,2724044,1944649,35598,28423,15.0,11.6667,0.02062939183156476
66,fi,hu,0.037000000000000005,0.124,0.171,0.08373575542452906,0.07384573474262121,vecmap_s,fi,hu,0.5559,0.4918,0.3865,21.4508,14.3681,1.5834,1232.6,0.134016208158147,0.3415321205321246,0.09485094010947796,fi-hu,parallel,1032400,1208595,1032400,20733,22080,2.0,5.6667,0.00840025238730957
67,fi,no,0.046,0.13,0.161,0.08752833921095918,0.0792868747749641,vecmap_s,fi,no,0.5269,0.4746,0.373,22.9952,15.0299,0.5681,1237.6,0.13233144683722664,0.3400310455211587,0.12819877077804162,fi-no,parallel,1102522,1364818,1102522,21782,19255,8.0,8.3333,0.0019125404563407056
68,fi,ro,0.03,0.084,0.11900000000000001,0.0626220140947798,0.05612488201082756,vecmap_s,fi,ro,0.5249,0.4588,0.3523,22.5762,14.5038,1.2468,1262.6,0.1191304465765492,0.325032483840841,0.11444280575389283,fi-ro,parallel,898566,1226981,898566,18447,19489,11.0,11.166599999999999,0.008616631697880739
69,fi,tr,0.025,0.09699999999999999,0.13,0.06548625459375333,0.05591857189626387,vecmap_s,fi,tr,0.5829,0.5105,0.3554,21.7876,14.8154,1.7923,1235.2,0.15634876557697544,0.3663041140916264,0.1120681777548223,fi-tr,parallel,825000,897101,825000,17065,18128,9.0,14.166599999999999,0.016043523506876323
70,hu,cs,0.079,0.187,0.25,0.1346607233924077,0.11412843881101875,vecmap_s,hu,cs,0.5783,0.4953,0.4153,19.1444,13.1429,0.1727,1181.2,0.13085911622747454,0.338987218295882,0.11674778004148648,cs-hu,parallel,1466125,1499972,1466125,25902,27218,7.0,13.166699999999999,0.00046620731997615295
71,hu,da,0.051,0.131,0.18600000000000003,0.09846958091222166,0.08922680020695843,vecmap_s,hu,da,0.5297,0.4706,0.4084,19.3696,13.5918,1.7272,1275.2,0.1330369387534116,0.34228926904557466,0.11421032307890333,da-hu,parallel,1009437,1072627,1009437,18962,16122,7.0,10.0,0.002711011169801547
72,hu,de,0.14400000000000002,0.265,0.33,0.2071327617281853,0.18376296681295576,vecmap_s,hu,de,0.5407,0.4752,0.3669,21.1747,13.8901,0.85,1179.0,0.14621103138692748,0.3565042224984365,0.14333491739357798,de-hu,parallel,2793839,3074943,2793839,43491,35886,7.0,9.3332,0.0006828936946335906
73,hu,el,0.032,0.09300000000000001,0.127,0.06598916560499993,0.057123803196454825,vecmap_s,hu,el,0.5153,0.4458,0.3856,19.4496,13.32,2.0648,1289.8,0.15427259458864034,0.36537869399239786,0.07562832818912593,el-hu,parallel,964804,1146242,964804,18296,18574,6.0,9.8335,0.0009037436319473402
74,hu,en,0.35600000000000004,0.53,0.588,0.4396550953713853,0.4073820222802245,vecmap_s,hu,en,0.4009,0.3523,0.2977,20.277,13.2334,0.4797,1288.0,0.1302381429713307,0.33958835218295497,0.18876157197313487,en-hu,parallel,9218416,10479899,9218416,110002,62579,10.0,12.6666,0.005443435436380595
