,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
20,de,cs,0.6072144288577155,0.8136272545090181,0.8527054108216433,0.6997927316607012,0.6317506109885669,vecmap_s,de,cs,0.5723,0.536,0.2363,452.2582,23.875,25.3769,1437.2,0.14710351275908465,0.3567107116943086,0.05550512101576824,cs-de,domain,913428282,132763620,132763620,2581534,675979,10.0,10.833300000000001,0.00011601411404926765
21,de,da,0.6370967741935484,0.8054435483870968,0.8497983870967742,0.714437005786357,0.657469255760901,vecmap_s,de,da,0.6858,0.6575,0.3293,609.4474,23.8542,3.2426,1331.8,0.14169662997279162,0.3489474731231837,0.03884371055419274,da-de,domain,913428282,66676633,66676633,2581534,350829,6.0,6.0,0.0010970617995952336
22,de,el,0.518555667001003,0.7291875626880642,0.7843530591775326,0.6154888168095626,0.5548238349152858,vecmap_s,de,el,0.4233,0.4068,0.083,1588.4711,24.1815,62.0522,1597.2,0.15813254846014074,0.3688526018243051,0.025531087521176082,de-el,domain,913428282,70194124,70194124,2581534,338996,9.0,8.1667,0.0029765391761000792
23,de,en,0.6724667349027635,0.8270214943705219,0.8556806550665302,0.7421073558447949,0.6993473101127721,vecmap_s,de,en,0.6544,0.6039,0.3714,20.4617,13.5455,1.3305,1266.2,0.21168835834308936,0.41266738638804623,0.09460673874152699,de-en,domain,913428282,2319483831,913428282,2581534,11425826,7.0,6.0,0.002357720030083721
24,de,es,0.6381909547738693,0.8140703517587939,0.8623115577889447,0.7201507996603126,0.6631966835909154,vecmap_s,de,es,0.6174,0.5689,0.2592,74.1968,18.8409,16.0705,1437.6,0.1772546841634587,0.38565089948476655,0.08725805849035863,de-es,domain,913428282,692375637,692375637,2581534,1429514,16.0,8.0,0.004134973629210892
25,de,fi,0.452357071213641,0.6850551654964895,0.7502507522567703,0.5595316017273586,0.5000000068802795,vecmap_s,de,fi,0.5746,0.5366,0.1994,1139.4141,25.2569,214.3998,1506.4,0.18217454549178114,0.39067378385560797,0.03749928857439907,de-fi,domain,913428282,102487802,102487802,2581534,786031,9.0,11.3333,0.007882710405959115
26,de,hu,0.500503524672709,0.7250755287009063,0.7774420946626385,0.6026978638144442,0.5424395630242799,vecmap_s,de,hu,0.5901,0.5632,0.2146,730.4471,24.748,68.4835,1514.6,0.20021071761550852,0.4081045435170683,0.05015107936242578,de-hu,domain,913428282,153998201,153998201,2581534,877552,7.0,9.3332,0.0006828936946335906
27,de,no,0.6686807653575025,0.8328298086606244,0.8660624370594159,0.7433125919969256,0.6877151363128262,vecmap_s,de,no,0.6712,0.6414,0.3314,433.4021,23.2287,0.8249,1344.2,0.15443498687313614,0.3632967804671326,0.05327141007139008,de-no,domain,913428282,125111145,125111145,2581534,558347,5.0,5.0,0.0033822605042316267
28,de,ro,0.5348133198789102,0.7517658930373359,0.7971745711402624,0.6323408957636372,0.5921502877387173,vecmap_s,de,ro,0.526,0.4991,0.1893,756.3715,24.3867,21.4209,1549.6,0.16688898993176038,0.3750703144165005,0.04931164767604748,de-ro,domain,913428282,88772650,88772650,2581534,383394,12.0,9.4999,0.0017587236417369034
29,de,tr,0.4026104417670683,0.6275100401606426,0.6997991967871486,0.5063259024458939,0.453031496709527,vecmap_s,de,tr,0.5429999999999999,0.5152,0.1494,1154.2751,26.0553,20.3982,1670.6,0.23642311684499104,0.4373682693581017,0.04027273972341447,de-tr,domain,913428282,78212294,78212294,2581534,464872,12.0,19.4999,0.007366305315793409
